time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month,hour,hour_formatted,diff_vs_avg_week,diff_vs_avg_month
01h,3,3,2,2.0,1.92,1,01h,50.0,56.250000000000014
02h,3,1,2,0.42,0.75,2,02h,614.2857142857143,300.0
03h,0,1,1,0.42,0.46,3,03h,-100.0,-100.0
04h,0,0,0,0.14,0.21,4,04h,-100.0,-100.0
05h,2,1,1,0.71,0.71,5,05h,181.69014084507046,181.69014084507046
06h,3,1,2,1.42,2.1,6,06h,111.26760563380283,42.85714285714285
07h,10,2,9,3.0,5.03,7,07h,233.33333333333334,98.80715705765407
08h,25,0,12,3.71,9.82,8,08h,573.8544474393531,154.5824847250509
09h,36,2,27,10.14,17.64,9,09h,255.02958579881656,104.0816326530612
10h,43,55,42,26.14,28.57,10,10h,64.49885233358836,50.507525376268816
11h,44,36,47,25.0,28.28,11,11h,76.0,55.58698727015559
12h,46,51,46,24.0,25.89,12,12h,91.66666666666666,77.67477790652761
13h,45,36,31,20.28,24.17,13,13h,121.89349112426034,86.18121638394702
15h,0,51,42,22.427,27.78,15,15h,-100.0,-100.0
16h,0,41,36,21.57,25.53,16,16h,-100.0,-100.0
17h,0,45,19,17.71,22.67,17,17h,-100.0,-100.0
19h,32,33,29,18.0,18.21,19,19h,77.77777777777779,75.7276221856123
20h,23,25,17,12.14,18.53,20,20h,89.45634266886326,24.123043712897996
21h,28,30,23,14.85,17.82,21,21h,88.55218855218855,57.12682379349046
22h,29,28,17,12.71,15.5,22,22h,128.16679779701022,87.09677419354838
23h,17,11,14,8.28,8.75,23,23h,105.31400966183577,94.28571428571428
